Syriac	Transliteration	English	PartOfSpeech	Gender	Lesson	Notes
ܦܕܥ	pədaʿ	to inform, make known	verb		11	root: p-d-ʿ; transposes object suffix
ܦܕܘܚܘܬܐ	pədūḥūttā	mercy, compassion	noun	f	11	root: p-d-ḥ; related to p-d-ḥ
ܩܘܒܠܢܐ	qūbbəlānā	acceptance, reception	noun	m	11	root: q-b-l; from q-b-l
ܪܟܒ	rākeb	to ride, mount	verb		11	root: r-k-b; takes object suffix
ܪܡܕ	rāmed	to strengthen, make firm	verb		11	root: r-m-d; takes object suffix
ܣܒܪ	sabbar	to break	verb		11	root: s-b-r; common with object suffixes
ܣܠܥ	sālaʿ	to lift, raise	verb		11	root: s-l-ʿ; takes object suffix
ܙܚܡ	zaḥem	to strengthen, mightily	verb		11	root: z-ḥ-m; object suffix usage
ܫܢܐ	šānē	to change, alter	verb		11	root: š-n-y; object suffix common
ܫܪܒ	šāreb	to drink	verb		11	root: š-r-b; takes object suffix
ܫܡܝܪܐ	šəmīrā	watch, guard	noun	m	11	root: š-m-r; from š-m-r
ܫܪܒܘܬܐ	šərbūttā	drinking	noun	f	11	root: š-r-b; from š-r-b
ܥܡܪ	ʿāmar	to dwell, inhabit	verb		11	root: ʿ-m-r; transposes object suffix
ܥܡܕ	ʿāmed	to stand firm	verb		11	root: ʿ-m-d; object suffix usage
ܥܘܕܢܐ	ʿūddānā	answer, response	noun	m	11	root: ʿ-w-d; from ʿ-w-d
ܚܣܪ	ḥāsar	to lack, be deprived	verb		11	root: ḥ-s-r; takes object suffix
		One	numeral		12	
		Two	numeral		12	
		Three	numeral		12	
		Four	numeral		12	
		Five	numeral		12	
		Six	numeral		12	
		Seven	numeral		12	
		Eight	numeral		12	
		Nine	numeral		12	
		Ten	numeral		12	
ܕܡܢ	dumān	from that place	adverb		12	
ܗܘ	haw	that (m)	demonstrative	m	12	
ܗܕܐ	hādē	this (f)	demonstrative	f	12	
ܗܟܢ	hākannā	thus, so	adverb		12	
ܗܠܝܢ	hāllēn	these (c)	demonstrative	c.pl	12	
ܗܢܐ	hānā	this (m)	demonstrative	m	12	
ܗܢܝܢ	hānēn	those (f)	demonstrative	f.pl	12	
ܗܢܘܢ	hānōn	those (m)	demonstrative	m.pl	12	
ܗܝ	hāy	that (f)	demonstrative	f	12	
ܠܐ	lā	not	adverb		12	
ܡܟܢܬܐ	makknatā	place, position	noun	f	12	
ܬܪܘܓܡܐ	tregumā	translation	noun	m	12	
ܫܠܚ	šlaḥ (Peal)	to strip off / cast away	verb	verb	12	Used for removing garments or sin
ܐܢ	ʾen	if	conjunction/particle	conj	12	Introduces condition
ܐܘܟܡܐ	ʾōkmā	how	adverb		12	
ܥܣܪܐ	ʿesrā	ten	numeral	m	12	
ܥܠܡܐ	ʿālmā	world, eternity	noun	m	12	Temporal and spatial boundary
ܚܡܫܐ	ḥammšā	five	numeral	m	12	
ܚܫܘܟܐ	ḥešūḵā	darkness	noun	m	12	Antonym of *nūhrā* (light)
ܚܐܕܝܐ	ḥādyā	one	numeral	m	12	
