Syriac	Transliteration	English	PartOfSpeech	Gender	State	Root	Stem	Lesson	Notes
ܫܠܚ	šlaḥ (Peal)	to strip off / cast away	verb	verb				12	Used for removing garments or sin
ܩܪܝܬܐ	qrītā	village	noun	f				12	emphatic state
ܠܫܢܐ	leššānā	tongue, language	noun	m				12	
ܓܪܡܐ	garmā	bone	noun	m				12	
ܟܐܦܐ	kēpā	stone, rock	noun	f				12	
ܡܝܐ	mayyā	water	noun	m				12	plural in form; plural form
ܢܘܢܐ	nūnā	fish	noun	m				12	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				12	
ܫܡܫܐ	šemšā	sun	noun	m				12	
ܬܪܥܐ	tarʿā	door, gate	noun	m				12	
ܡܫܚܐ	mešḥā	oil	noun	m				12	
ܚܝܠܐ	ḥaylā	power, army	noun	m				12	
ܐܕܢܐ	ʾednā	ear	noun	f				12	
ܩܝܣܐ	qaysā	wood, tree	noun	m				12	
ܢܗܪܐ	nahrā	river	noun	m				12	
ܣܒܪܐ	sabrā	hope	noun	m				12	
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f				12	abstract noun
ܣܗܪܐ	sahrā	moon	noun	m				12	
ܪܓܠܐ	reglā	foot	noun	f				12	
ܐܬܪܐ	ʾatrā	place, country	noun	m				12	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				12	
ܒܣܪܐ	besrā	flesh	noun	m				12	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				12	
ܬܘܪܐ	tawrā	bull, ox	noun	m				12	
ܩܝܡܐ	qyāmā	covenant	noun	m				12	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				12	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				12	
ܥܝܢܐ	ʿaynā	eye	noun	f				12	
ܦܘܡܐ	pūmā	mouth	noun	m				12	
ܕܝܢܐ	dīnā	judgment	noun	m				12	
ܠܒܘܫܐ	lbūšā	garment, clothing	noun	m	emphatic	l-b-š	Peal	02	from root l-b-š
ܕܟܪܢܐ	dəkrānā	memory, remembrance	noun	m	emphatic	d-k-r	Peal	02	from root d-k-r
ܦܓܥܢܐ	pəgʿānā	encounter, meeting	noun	m	emphatic	p-g-ʿ	Peal	02	from root p-g-ʿ
ܐܨܒܥܐ	ʾəṣḇʿā	finger	noun	f	emphatic	ʾ-ṣ-b	Peal	02	body part
ܦܘܠܚܢܐ	pūlḥānā	labor, toil	noun	m	emphatic	p-l-ḥ	Peal	02	from root p-l-ḥ
ܫܡܪܢܐ	šəmrānā	guard, watchfulness	noun	m	emphatic	š-m-r	Peal	02	from root š-m-r
ܓܡܠܘܬܐ	gəmālūttā	kindness, mercy	noun	f	emphatic	g-m-l	Peal	02	from root g-m-l
ܠܓܕܬܐ	ləgdəttā	overtaking, capture	noun	f	emphatic	l-g-d	Peal	02	from root l-g-d
ܕܠܘܬܐ	dəlūttā	poverty, want	noun	f	emphatic	d-l-l	noun	02	abstract noun
ܦܠܓܘܬܐ	pəlgūttā	division, share	noun	f	emphatic	p-l-g	Peal	02	from root p-l-g
ܩܠܦܬܐ	qəlpəttā	shell, exterior	noun	f	emphatic	q-l-p	noun	02	
ܪܘܓܙܢܐ	rūgzānā	rage, wrath	noun	m	emphatic	r-g-z	Peal	02	from root r-g-z
ܝܕܥܘܬܐ	ydāʿūttā	knowledge	noun	f	emphatic	y-d-ʿ	Peal	02	from root y-d-ʿ
ܟܦܪܐ	kəprā	village, hamlet	noun	m	emphatic	k-p-r	noun	02	place noun
ܦܩܪܐ	pəqrā	opening, aperture	noun	m	emphatic	p-q-r	Peal	02	from root p-q-r
ܓܡܪܘܬܐ	gəmrūttā	completion, fulfillment	noun	f	emphatic	g-m-r	Peal	02	from root g-m-r
ܛܘܫܢܐ	ṭūšānā	strength, might	noun	m	emphatic	ṭ-w-š	Peal	02	from root ṭ-w-š
ܫܦܥܐ	šəpʿā	abundance, plenty	noun	m	emphatic	š-p-ʿ	Peal	02	from root š-p-ʿ
ܦܣܡܐ	pəsmā	measure, standard	noun	m	emphatic	p-s-m	noun	02	
ܫܠܡܘܬܐ	šəlmūttā	completeness, wholeness	noun	f	emphatic	š-l-m	Peal	02	from root š-l-m
ܥܠܩܐ	ʿalqā	ascent, stairway	noun	m	emphatic	ʿ-l-q	Peal	02	from root ʿ-l-q
ܓܛܪܢܐ	gəṭrānā	enclosure, fence	noun	m	emphatic	g-ṭ-r	Peal	02	from root g-ṭ-r
ܫܢܘܬܐ	šənūttā	change, alteration	noun	f	emphatic	š-n-y	Peal	02	from root š-n-y
ܕܒܩܘܬܐ	dəbqūttā	clinging, adherence	noun	f	emphatic	d-b-q	Peal	02	from root d-b-q
ܩܕܘܫܘܬܐ	qdūšūttā	holiness, sanctity	noun	f	emphatic	q-d-š	Peal	02	from root q-d-š
ܓܕܘܠܘܬܐ	gdūlūttā	greatness, grandeur	noun	f	emphatic	g-d-l	Peal	02	from root g-d-l
ܥܪܘܬܐ	ʿərūttā	nakedness, shame	noun	f	emphatic	ʿ-r-y	Peal	02	from root ʿ-r-y
ܕܒܪܢܐ	dəbrānā	word, matter	noun	m	emphatic	d-b-r	Peal	02	related to d-b-r
ܪܘܡܘܬܐ	rūmūttā	height, elevation	noun	f	emphatic	r-w-m	Peal	02	from root r-w-m
ܦܠܟܘܬܐ	pəlkūttā	flight, escape	noun	f	emphatic	p-l-k	Peal	03	from root p-l-k
ܩܛܠܘܬܐ	qəṭlūttā	slaughter, killing	noun	f	emphatic	q-ṭ-l	Peal	03	from root q-ṭ-l
ܓܢܘܒܘܬܐ	gənūbūttā	theft, stealing	noun	f	emphatic	g-n-b	Peal	03	from root g-n-b
ܫܒܘܩܘܬܐ	šəbūqūttā	abandonment, leaving	noun	f	emphatic	š-b-q	Peal	03	from root š-b-q
ܢܦܩܘܬܐ	napəqūttā	going out, exit	noun	f	emphatic	n-p-q	Peal	03	from root n-p-q
ܕܡܥܘܬܐ	dəmʿūttā	weeping, tears	noun	f	emphatic	d-m-ʿ	Peal	03	from root d-m-ʿ
ܚܡܡܘܬܐ	ḥəmmūttā	heat, fervor	noun	f	emphatic	ḥ-m-m	Peal	03	from root ḥ-m-m
ܦܓܥܘܬܐ	pəgʿūttā	striking, blow	noun	f	emphatic	p-g-ʿ	Peal	03	from root p-g-ʿ
ܥܪܩܘܬܐ	ʿərəqūttā	flight, fleeing	noun	f	emphatic	ʿ-r-q	Peal	03	from root ʿ-r-q
ܩܪܒܘܬܐ	qərbūttā	drawing near, approach	noun	f	emphatic	q-r-b	Peal	03	from root q-r-b
ܪܕܦܘܬܐ	rədu̲pūttā	pursuit, chasing	noun	f	emphatic	r-d-p	Peal	03	from root r-d-p
ܥܠܩܘܬܐ	ʿəlqūttā	ascent, rising	noun	f	emphatic	ʿ-l-q	Peal	03	from root ʿ-l-q
ܦܠܚܘܬܐ	pəlḥūttā	service, labor	noun	f	emphatic	p-l-ḥ	Peal	03	from root p-l-ḥ
ܕܪܟܘܬܐ	dərəkūttā	treading, passage	noun	f	emphatic	d-r-k	Peal	03	from root d-r-k
ܥܡܕܐ	ʿamdā	pillar, column	noun	m	emphatic	ʿ-m-d	noun	03	
ܦܪܓܢܐ	pərgānā	authority, ruler	noun	m	emphatic	p-r-g	noun	03	
ܪܓܡܘܬܐ	rəgmūttā	stoning, lapidation	noun	f	emphatic	r-g-m	Peal	03	from root r-g-m
ܫܡܪܘܬܐ	šəmrūttā	guarding, keeping	noun	f	emphatic	š-m-r	Peal	03	from root š-m-r
ܢܛܪܘܬܐ	nəṭrūttā	watching, guarding	noun	f	emphatic	n-ṭ-r	Peal	03	from root n-ṭ-r
ܟܘܘܬܐ	kūwūttā	substance, being	noun	f	emphatic	k-w-n	Peal	03	from root k-w-n
ܣܒܥܘܬܐ	səbʿūttā	satisfaction, plenty	noun	f	emphatic	s-b-ʿ	Peal	03	from root s-b-ʿ
ܓܪܒܘܬܐ	gərbūttā	scraping, scratching	noun	f	emphatic	g-r-b	Peal	03	from root g-r-b
ܠܓܕܘܬܐ	ləgdūttā	seizing, capture	noun	f	emphatic	l-g-d	Peal	03	from root l-g-d
ܫܘܒܩܢܐ	šūbqānā	(one) abandoned	noun	m	emphatic	š-b-q	Peal	03	from root š-b-q
ܦܘܡܟܢܐ	pūmkānā	speaker	noun	m	emphatic	p-w-m	Peal	03	from root p-w-m
ܓܠܕܘܬܐ	gəldūttā	uncovering, nakedness	noun	f	emphatic	g-l-d	Peal	03	from root g-l-d
ܡܕܒܪܢܐ	mədbərānā	leader, guide	noun	m	emphatic	d-b-r	Peal	03	from root d-b-r
ܐܘܡܘܬܐ	ʾūmūttā	oneness, unity	noun	f	emphatic	ʾ-w-m	Peal	07	from weak root ʾ-w-m
ܕܡܘܬܐ	dəmūttā	likeness, image	noun	f	emphatic	d-m-y	Peal	07	from root d-m-y
ܚܙܘܬܐ	ḥazūttā	vision, sight	noun	f	emphatic	ḥ-z-y	III-Yodh	07	from III-Yodh root
ܒܢܘܬܐ	bənūttā	building, structure	noun	f	emphatic	b-n-y	III-Yodh	07	from III-Yodh root
ܥܠܘܬܐ	ʿəlūttā	ascent, exaltation	noun	f	emphatic	ʿ-l-y	I-Alaph	07	from I-Alaph root
ܩܪܘܬܐ	qərūttā	calling, vocation	noun	f	emphatic	q-r-ʾ	III-Alaph	07	from III-Alaph root
ܥܘܕܪܢܐ	ʿawdərānā	help, aid	noun	m	emphatic	ʿ-d-r	noun	07	
ܝܙܦܐ	yāzəpā	beauty, form	noun	m	emphatic	y-z-p	noun	07	
ܗܒܝܘܢܐ	həbīyūnā	gift, offering	noun	m	emphatic	y-h-b	I-Yodh	07	
ܐܬܝܢܘܬܐ	ʾətyānūttā	coming, arrival	noun	f	emphatic	ʾ-t-y	weak	07	from weak root
ܗܘܝܘܬܐ	həwīyūttā	being, existence	noun	f	emphatic	h-w-y	III-Yodh	07	
ܥܠܡܘܬܐ	ʿālmūttā	worldliness, temporality	noun	f	emphatic	ʿ-l-m	weak	07	
ܕܘܩܐ	dūqā	bench, throne	noun	m	emphatic	d-w-q	weak	07	
ܓܘܪܐ	gūrā	dwelling, cave	noun	m	emphatic	g-w-r	weak	07	
ܛܘܦܪܐ	ṭūprā	appearance, form	noun	m	emphatic	ṭ-w-p	weak	07	
ܩܘܡܐ	qūmā	standing, resurrection	noun	m	emphatic	q-y-m	I-Yodh	07	
ܢܦܝܐ	napīʾā	seer, prophet	noun	m	emphatic	n-p-ʾ	I-Alaph	07	
ܥܘܢܐ	ʿōnā	strength, power	noun	m	emphatic	ʿ-w-n	weak	07	
ܫܘܘܕܐ	šūwəddā	testimony, witness	noun	m	emphatic	š-w-d	weak	07	
ܪܘܡܘܬܐ	rūmūttā	highness, exaltation	noun	f	emphatic	r-w-m	weak	07	
ܩܪܐ	qərā	cold	noun	m	emphatic	q-r-ʾ	III-Alaph	07	
ܚܠܡܐ	ḥelmā	dream	noun	m	emphatic	ḥ-l-m	weak	07	
ܕܘܣܐ	dūsā	trampling, subjugation	noun	m	emphatic	d-w-s	weak	07	
ܠܠܘܬܐ	ləlūttā	lamenting, wailing	noun	f	emphatic	l-l-y	weak	07	
ܦܘܪܐ	pūrā	fruit	noun	m	emphatic	p-w-r	weak	07	
ܥܘܩܢܐ	ʿūqqānā	knot, binding	noun	m	emphatic	ʿ-q-d	weak	07	
ܫܠܝܢܐ	šəlyānā	peace, wholeness	noun	m	emphatic	š-l-y	weak	07	
ܐܬܘܬܐ	ʾətwūttā	sign, omen	noun	f	emphatic	ʾ-t-w	weak	07	
ܢܘܬܐ	nūttā	rest, dwelling	noun	f	emphatic	n-w-t	weak	07	
ܘܝܪܘܬܐ	wayrūttā	shame, disgrace	noun	f	emphatic	w-y-r	weak	07	
ܢܣܟ	nasak	to pour, cast	verb		emphatic	n-s-k	Peal	11	common with suffixes
ܕܒܩ	dābeq	to cling, adhere	verb		emphatic	d-b-q	Peal	11	transposes object suffix
ܓܕܪ	gāder	to fence, hedge in	verb		emphatic	g-d-r	Peal	11	takes object suffix
ܠܥܕ	lāʿad	to witness, testify	verb		emphatic	l-ʿ-d	Peal	11	object suffix usage
ܫܢܐ	šānē	to change, alter	verb		emphatic	š-n-y	Peal	11	object suffix common
ܫܪܒ	šāreb	to drink	verb		emphatic	š-r-b	Peal	11	takes object suffix
ܦܣܥ	pāsaʿ	to cut, prune	verb		emphatic	p-s-ʿ	Peal	11	object suffix frequent
ܡܗܛ	mehaṭ	to cover, conceal	verb		emphatic	m-ḥ-ṭ	Peal	11	takes object suffix
ܙܚܡ	zaḥem	to strengthen, mightily	verb		emphatic	z-ḥ-m	Peal	11	object suffix usage
ܕܠܗ	dāleh	to draw water	verb		emphatic	d-l-h	Peal	11	takes object suffix
ܓܘܘܓ	gwag	to plunder, rob	verb		emphatic	g-w-g	Peal	11	object suffix common
ܪܡܕ	rāmed	to strengthen, make firm	verb		emphatic	r-m-d	Peal	11	takes object suffix
ܢܬܓ	nātag	to pull, draw	verb		emphatic	n-t-g	Peal	11	object suffix usage
ܣܠܥ	sālaʿ	to lift, raise	verb		emphatic	s-l-ʿ	Peal	11	takes object suffix
ܕܓܫ	dāgaš	to push, press	verb		emphatic	d-g-š	Peal	11	object suffix frequent
ܦܕܥ	pədaʿ	to inform, make known	verb		emphatic	p-d-ʿ	Peal	11	transposes object suffix
ܥܡܕ	ʿāmed	to stand firm	verb		emphatic	ʿ-m-d	Peal	11	object suffix usage
ܪܟܒ	rākeb	to ride, mount	verb		emphatic	r-k-b	Peal	11	takes object suffix
ܡܢܓ	menag	to prevent, hinder	verb		emphatic	m-n-g	Peal	11	object suffix common
ܥܡܪ	ʿāmar	to dwell, inhabit	verb		emphatic	ʿ-m-r	Peal	11	transposes object suffix
ܚܣܪ	ḥāsar	to lack, be deprived	verb		emphatic	ḥ-s-r	Peal	11	takes object suffix
ܓܡܪܢܐ	gəmrānā	completion, fulfillment	noun	m	emphatic	g-m-r	Peal	11	derived from g-m-r
ܦܕܘܚܘܬܐ	pədūḥūttā	mercy, compassion	noun	f	emphatic	p-d-ḥ	Peal	11	related to p-d-ḥ
ܢܣܟܘܬܐ	nəskūttā	pouring, libation	noun	f	emphatic	n-s-k	Peal	11	from n-s-k
ܕܒܩܘܬܐ	dəbqūttā	clinging, adherence	noun	f	emphatic	d-b-q	Peal	11	from d-b-q
ܫܡܝܪܐ	šəmīrā	watch, guard	noun	m	emphatic	š-m-r	Peal	11	from š-m-r
ܥܘܕܢܐ	ʿūddānā	answer, response	noun	m	emphatic	ʿ-w-d	Peal	11	from ʿ-w-d
ܩܘܒܠܢܐ	qūbbəlānā	acceptance, reception	noun	m	emphatic	q-b-l	Peal	11	from q-b-l
ܫܪܒܘܬܐ	šərbūttā	drinking	noun	f	emphatic	š-r-b	Peal	11	from š-r-b
ܡܕܠܘܬܐ	mədəlūttā	poverty, humiliation	noun	f	emphatic	m-d-l	Peal	11	from m-d-l
ܕܝܠ	dyāl	to give birth	verb		absolute	d-y-l	Peal	03	narrative verb, past action
ܥܩܪ	ʿaqar	to root out, dig	verb		absolute	ʿ-q-r	Peal	03	narrative verb, past action
ܣܠܩ	sālaq	to ascend, climb	verb		absolute	s-l-q	Peal	03	narrative verb, common in Peshitta
ܐܚܕ	ʾaḥad	to unite, make one	verb		absolute	ʾ-ḥ-d	Peal	10	passive form ʾetʾaḥed (be united)
ܚܠܡ	ḥelam	to dream	verb		absolute	ḥ-l-m	Peal	10	can take passive Et-stem
ܣܒܪ	sabbar	to break	verb		absolute	s-b-r	Peal	11	common with object suffixes
ܣܦܘܬܐ	sputā	lip	noun	f	emphatic		Peal	04	
ܬܠܓܐ	talggā	ridge, back	noun	m	emphatic		Peal	04	
ܨܪܐ	ṣirē	side, rib	noun	f	emphatic		Peal	04	
ܓܢܒܐ	ganbā	thigh	noun	m	emphatic		Peal	04	
ܕܪܥܐ	darʿā	arm	noun	f	emphatic		Peal	04	
ܥܓܠܐ	ʿaggālā	calf (leg part)	noun	m	emphatic		Peal	04	
ܚܬܢܐ	ḥatnā	bridegroom	noun	m	emphatic		Peal	04	
ܟܠܬܐ	kaltā	bride	noun	f	emphatic		Peal	04	
ܥܡܘܪܐ	ʿammūrā	uncle (paternal)	noun	m	emphatic		Peal	04	
ܥܡܬܐ	ʿammtā	aunt (paternal)	noun	f	emphatic		Peal	04	
ܥܡܩܐ	ʿammqā	deep	adj	m	emphatic		Peal	04	
ܦܠܛܐ	paltā	escape, safety	noun	m	emphatic		Peal	04	
ܥܬܝܪܐ	ʿattīrā	rich, mighty	adj	m	emphatic		Peal	04	
ܡܤܟܢܐ	meskennā	poor, humble	adj	m	emphatic		Peal	04	
ܓܒܘܪܐ	gibbōrā	mighty, strong	adj	m	emphatic		Peal	04	
ܩܠܝܠܐ	qlīllā	small, few	adj	m	emphatic		Peal	04	
ܝܚܝܕܐ	yḥīddā	alone, unique	adj	m	emphatic		Peal	04	
ܥܕܠܐ	ʿaddālā	just, righteous	adj	m	emphatic		Peal	04	
ܐܚܝܐ	ʾaḥyā	give life	verb	m		ḥ-y-y	Aphel	05	
ܐܓܠܐ	ʾaglā	reveal	verb	m		g-l-y	Aphel	05	
ܐܠܒܫ	ʾalbāš	clothе	verb	m		l-b-š	Aphel	05	
ܐܦܩܕ	ʾapqad	entrust	verb	m		p-q-d	Aphel	05	
ܐܪܡܝ	ʾarmī	lift up	verb	m		r-m-y	Aphel	05	
ܐܫܕܪ	ʾašdar	send	verb	m		š-d-r	Aphel	05	
ܐܠܦܐ	ʾalpā	teach	verb	m		l-p-y	Aphel	05	
ܐܓܠܘܬܐ	aglūtā	revelation	noun	f	emphatic		Peal	05	
ܐܫܕܘܬܐ	asdūtā	sending	noun	f	emphatic		Peal	05	
ܐܥܠܘܬܐ	aʿlūtā	ascent	noun	f	emphatic		Peal	05	
ܐܠܦܘܬܐ	alpūtā	teaching	noun	f	emphatic		Peal	05	
ܐܣܬܡܐ	ʾastmā	hide	verb	m		s-t-m	Aphel	05	
ܐܠܒܘܫܐ	albūšā	clothing	noun	m	emphatic		Peal	05	
ܐܩܪܒ	ʾaqrab	bring near	verb	m		q-r-b	Aphel	05	
ܐܩܘܡ	ʾaqūm	raise, stand	verb	m		q-w-m	Aphel	05	
ܩܕܐܫܐ	qaddāšā	make holy	verb	m		q-d-š	Paael	06	
ܩܕܫܘܬܐ	qaddšūtā	holiness	noun	f	emphatic		Peal	06	
ܦܠܓܐ	palggā	divide	verb	m		p-l-g	Paael	06	
ܦܠܓܘܬܐ	palġūtā	division	noun	f	emphatic		Peal	06	
ܣܓܕܐ	saggad	worship	verb	m		s-g-d	Paael	06	
ܣܓܕܘܬܐ	saġdūtā	worship	noun	f	emphatic		Peal	06	
ܦܪܙܦܐ	parzappā	interpreter	noun	m	emphatic		Peal	06	
ܡܪܡܐ	marmā	raise, exalt	verb	m		r-m-y	Paael	06	
ܛܦܦܐ	ṭappā	strike, beat	verb	m		t-p-p	Paael	06	
ܡܚܪܬܐ	meḥartā	tomorrow	noun	f	emphatic		Peal	08	
ܙܢܐ	zannā	time, era	noun	m	emphatic		Peal	08	
ܪܫܐ	rešā	head (leadership)	noun	m	emphatic		Peal	08	
ܐܢ	ʾin	if	conj					08	
ܐܘܠܝܐ	ʾōlyā	perhaps	adv					08	
ܦܐܠܘܬܐ	pʾāltā	trust, confidence	noun	f	emphatic		Peal	08	
ܕܚܠܐ	deḥlā	fear	noun	m	emphatic		Peal	08	
ܝܕܥܐ	yedʿā	knowledge	noun	m	emphatic		Peal	08	
ܬܪܘܓܡܐ	tregumā	translation	noun	m	emphatic		Peal	12	
ܐܘܟܡܐ	ʾōkmā	how	adv					12	
ܕܡܢ	dumān	from that place	adv					12	
ܠܐ	lā	not	neg_adv					12	
ܡܟܢܬܐ	makknatā	place, position	noun	f	emphatic		Peal	12	
ܚܐܕܝܐ	ḥādyā	one	num	m	emphatic		Peal	12	
ܚܡܫܐ	ḥammšā	five	num	m	emphatic		Peal	12	
ܥܣܪܐ	ʿesrā	ten	num	m	emphatic		Peal	12	
ܫܒܬܐ	šabbetā	sabbath, week	noun	f		š-b-t		02	
